T_ms,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
0.0,,,,,,,,,,,,
0.002,,,,,,,,,,,,
0.004,,,,,,,,,,,,
0.006,,,,,,,,,,,,
0.008,,,,,,,,,,,,
0.01,,,,,,,,,,,,
0.012,,,,,,,,,,,,
0.014,,,,,,,,,,,,
0.016,,,,,,,,,,,,
0.018,,,,,,,,,,,,
0.02,,,,,,,,,,,,
0.022,,,,,,,,,,,,
0.024,,,,,,,,,,,,
0.026,,,,,,,,,,,,
0.028,,,,,,,,,,,,
0.03,,,,,,,,,,,,
0.032,,,,,,,,,,,,
0.034,,,,,,,,,,,,
0.036,,,,,,,,,,,,
0.038,,,,,,,,,,,,
0.04,,,,,,,,,,,,
0.042,,,,,,,,,,,,
0.044,,,,,,,,,,,,
0.046,,,,,,,,,,,,
0.048,,,,,,,,,,,,
0.05,,,,,,,,,,,,
0.052,,,,,,,,,,,,
0.054,,,,,,,,,,,,
0.056,,,,,,,,,,,,
0.058,,,,,,,,,,,,
0.06,,,,,,,,,,,,
0.062,,,,,,,,,,,,
0.064,,,,,,,,,,,,
0.066,,,,,,,,,,,,
0.068,,,,,,,,,,,,
0.07,,,,,,,,,,,,
0.072,,,,,,,,,,,,
0.074,,,,,,,,,,,,
0.076,,,,,,,,,,,,
0.078,,,,,,,,,,,,
0.08,,,,,,,,,,,,
0.082,,,,,,,,,,,,
0.084,,,,,,,,,,,,
0.086,,,,,,,,,,,,
0.088,,,,,,,,,,,,
0.09,,,,,,,,,,,,
0.092,,,,,,,,,,,,
0.094,,,,,,,,,,,,
0.096,,,,,,,,,,,,
0.098,,,,,,,,,,,,
0.1,,,,,,,,,,,,
0.102,,,,,,,,,,,,
0.104,,,,,,,,,,,,
0.106,,,,,,,,,,,,
0.108,,,,,,,,,,,,
0.11,,,,,,,,,,,,
0.112,,,,,,,,,,,,
0.114,,,,,,,,,,,,
0.116,,,,,,,,,,,,
0.118,0.2949852507374631,,,,,,,,,,,
0.12,0.30247699961313407,,,,,,,,,,,
0.122,0.30996874848880507,,,,,,,,,,,
0.124,0.31746049736447607,,,,,,,,,,,
0.126,0.3241815368247981,,,,,,,,,,,
0.128,0.3291760360752454,,,,,,,,,,,
0.13,0.33417053532569274,,,,,,,,,,,
0.132,0.33916503457614,,,,,,,,,,,
0.134,0.34261811499588957,,,,,,,,,,,
0.136,0.3451153646211132,,,,,,,,,,,
0.138,0.3476126142463369,,,,,,,,,,,
0.14,0.3501098638715605,,,,,,,,,,,
0.142,0.345670728758644,,,,,,,,,,,
0.144,0.3406762295081967,,,,,,,,,,,
0.146,0.3356817302577494,,,,,,,,,,,
0.148,0.3306872310073021,,,,,,,,,,,
0.15,0.3256927317568548,,,,,,,,,,,
0.152,0.32069823250640744,,,,,,,,,,,
0.154,0.31570373325596013,,,,,,,,,,,
0.156,0.3066403416509502,,,,,,,,,,,
0.158,0.29415409352483196,,,,,,,,,,,
0.16,0.28166784539871365,,,,,,,,,,,
0.162,0.2691815972725954,,,,,,,,,,,
0.164,0.25456834227960734,,,,,,,,,,,
0.166,0.23958484452826534,,,,,,,,,,,
0.168,0.2246013467769234,,,,,,,,,,,
0.17,0.20961784902558145,,,,,,,,,,,
0.172,0.19463435127423953,,,,,,,,,,,
0.174,0.17965085352289759,,,,,,,,,,,
0.176,0.16466735577155564,,,,,,,,,,,
0.178,0.1496838580202137,,,,,,,,,,,
0.18,0.1347003602688718,,,,,,,,,,,
0.182,0.11971686251752983,,,,,,,,,,,
0.184,0.10473336476618784,,,,,,,,,,,
0.186,0.09557552347792445,,,,,,,,,,,
0.188,0.08808377460225346,,,,,,,,,,,
0.19,0.08059202572658251,,,,,,,,,,,
0.192,0.07310027685091151,,,,,,,,,,,
0.194,0.06560852797524057,,,,,,,,,,,
0.196,0.058116779099569575,,,,,,,,,,,
0.198,0.05062503022389863,,,,,,,,,,,
0.2,0.04510539073456162,,,,,,,,,,,
0.202,0.04260814110933797,,,,,,,,,,,
0.204,0.04011089148411431,,,,,,,,,,,
0.206,0.03761364185889066,,-0.018436578171091445,,,,,,,,,
0.208,0.035116392233667,,-0.018436578171091445,,,,,,,,,
0.21,0.03261914260844335,,-0.018436578171091445,,,,,,,,,
0.212,0.030121892983219684,,-0.018436578171091445,,,,,,,,,
0.214,0.02762464335799602,,-0.018436578171091445,,,,,,,,,
0.216,0.02512739373277237,,-0.018436578171091445,,,,,,,,,
0.218,0.022630144107548704,,-0.018436578171091445,,,,,,,,,
0.22,0.020132894482325057,,-0.018436578171091445,,,,,,,,,
0.222,0.018436578171091445,,-0.018436578171091445,,,,,,,,,
0.224,0.018436578171091445,,-0.018436578171091445,,,,,,,,,
0.226,0.018436578171091445,,-0.018436578171091445,,,,,,,,,
0.228,0.018436578171091445,,-0.018436578171091445,,,,,,,,,
